Region Name,Region Unique Number,Number of Voxels,Mask File Path,Delta X,Delta Y,Delta Z,Mask Center,Mni_Scaled
frontal,32,51,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_32.nii,14,18,10,"[93, 79, 49, 1]","[-0.66, -0.068, 0.018]"
frontal,33,22,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_33.nii,10,7,4,"[97, 75, 54, 1]","[-0.74, -0.123, 0.106]"
frontal,34,105,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_34.nii,8,5,10,"[85, 70, 54, 1]","[-0.5, -0.191, 0.106]"
frontal,35,492,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_35.nii,7,14,12,"[87, 78, 55, 1]","[-0.54, -0.082, 0.124]"
frontal,36,83,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_36.nii,8,6,4,"[85, 70, 59, 1]","[-0.5, -0.191, 0.194]"
frontal,39,466,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_39.nii,15,10,10,"[94, 75, 56, 1]","[-0.68, -0.123, 0.141]"
frontal,40,130,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_40.nii,9,9,4,"[100, 80, 53, 1]","[-0.8, -0.055, 0.088]"
frontal,41,147,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_41.nii,9,4,5,"[94, 71, 59, 1]","[-0.68, -0.177, 0.194]"
frontal,42,119,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_42.nii,5,7,6,"[100, 73, 58, 1]","[-0.8, -0.15, 0.176]"
frontal,49,342,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_49.nii,9,13,11,"[66, 75, 78, 1]","[-0.12, -0.123, 0.529]"
frontal,56,404,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_56.nii,5,11,11,"[64, 79, 88, 1]","[-0.08, -0.068, 0.706]"
frontal,61,230,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/frontal_61.nii,7,7,14,"[75, 79, 90, 1]","[-0.3, -0.068, 0.741]"
