Region Name,Region Unique Number,Number of Voxels,Mask File Path,Delta X,Delta Y,Delta Z,Mask Center,Mni_Scaled,cluster
cereb,30,3439,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/cereb_30.nii,36,33,29,"[79, 38, 19, 1]","[-0.38, -0.627, -0.512]",1
cereb,13,3307,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/cereb_13.nii,36,33,29,"[42, 38, 19, 1]","[0.36, -0.627, -0.512]",1
cereb,11,3254,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/cereb_11.nii,36,29,39,"[42, 46, 26, 1]","[0.36, -0.518, -0.388]",1
cereb,27,3146,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/cereb_27.nii,36,30,37,"[79, 45, 25, 1]","[-0.38, -0.532, -0.406]",1
cereb,10,2901,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/cereb_10.nii,37,39,39,"[42, 43, 24, 1]","[0.36, -0.559, -0.424]",1
cereb,25,2855,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/cereb_25.nii,36,39,39,"[79, 44, 24, 1]","[-0.38, -0.545, -0.424]",1
cereb,12,2571,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/cereb_12.nii,35,37,30,"[44, 42, 20, 1]","[0.32, -0.573, -0.494]",1
cereb,18,2142,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/cereb_18.nii,26,26,35,"[75, 48, 26, 1]","[-0.3, -0.491, -0.388]",1
cereb,2,2140,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/cereb_2.nii,26,26,35,"[45, 48, 26, 1]","[0.3, -0.491, -0.388]",1
cereb,29,2034,/data/users4/sdeshpande8/3D_Mask_Brain_CNN/3D_Mask_Data/masks_3D_parietal/cereb_29.nii,34,38,30,"[78, 41, 20, 1]","[-0.36, -0.586, -0.494]",1
